HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
4,2,80.39,3.61,4.248,5.287,5.415,5.747,-7.034,5.671,-0.312,-1.363,127.56,26.02,0.0029,0.0082,0.0121,0.0009,219,N[C@H](C(=O)O)C(=O)C
1,1,3.24,1.91,6.618,8.507,8.507,9.906,-6.868,9.007,0.324,2.139,110.39,4.73,0.1251,0.0011,0.0011,0.0161,222,N
2,3,59.84,1.35,5.656,6.091,6.523,6.625,-6.637,7.268,-0.204,0.631,60.91,19.44,0.0296,0.0432,0.1666,0.0798,226,N[C@H](P)O
3,2,63.32,3.63,3.905,4.896,5.049,5.141,-5.755,4.553,1.548,-1.203,144.8,37.81,0.0903,0.0058,0.0156,0.024,227,OC(=O)c1ccccc1N
5,4,90.15,3.09,6.198,6.458,6.761,6.858,-7.048,8.218,-2.582,1.17,62.2,29.77,0.0071,0.0001,0.026,0.0056,229,O[C@@H]1CO[C@@H]([C@@H]([C@@H]1O)O)O
5,3,106.41,6.64,5.053,5.311,5.375,5.493,-6.944,6.104,-0.326,-0.841,181.81,28.73,0.021,0.0066,0.0067,0.0015,236,OC(=N)C[C@@H](C(=O)O)N
3,2,63.32,6.66,5.559,6.116,6.36,6.827,-6.729,7.461,0.12,0.732,106.84,21.01,0.0016,0.001,0.0142,0.0021,239,NCCC(=O)O
0,0,0.0,0.0,5.41,6.077,6.349,6.35,-6.702,6.8,1.687,0.098,2.31,26.44,0.0,0.0,0.0,0.0,241,c1ccccc1
2,1,37.3,4.78,4.708,5.02,5.527,5.95,-7.214,5.826,1.385,-1.388,94.64,33.4,0.0095,0.0141,0.1498,0.0234,243,OC(=O)c1ccccc1
1,1,20.23,1.53,5.273,5.804,6.141,6.327,-6.577,6.476,1.179,-0.101,25.77,32.57,0.0002,0.0553,0.0096,0.0497,244,OCc1ccccc1
2,0,40.13,10.74,4.375,4.43,4.779,4.792,-5.116,5.665,-1.558,0.55,80.89,28.35,0.0002,0.0247,0.0,0.0002,247,[O]C(=O)C[N](C)(C)C
1,0,17.07,2.5,4.333,6.56,6.921,7.216,-6.868,6.357,0.985,-0.512,6.49,21.54,0.0002,0.0255,0.0606,0.0045,261,CCCC=O
2,2,40.46,0.0,6.338,6.432,7.145,7.167,-6.77,8.672,-0.252,1.902,12.0,23.67,0.0143,0.0,0.016,0.0236,262,C[C@H]([C@@H](O)C)O
1,1,20.23,1.72,6.45,7.24,7.381,7.606,-7.075,9.176,0.779,2.101,-6.62,22.5,0.0089,0.0165,0.0193,0.0205,263,CCCCO
2,1,37.3,4.13,5.747,6.454,7.372,7.48,-7.369,7.69,0.871,0.321,51.92,23.11,0.0004,0.015,0.0154,0.0037,264,CCCC(=O)O
5,2,93.64,4.98,5.742,6.584,6.727,7.053,-8.248,7.358,0.422,-0.89,75.88,33.61,0.003,0.0338,0.0102,0.0123,266,CCCC(=O)OP(=O)(O)O
2,2,52.04,1.68,5.577,5.625,6.172,6.207,-6.223,8.052,1.475,1.829,82.6,31.56,0.0119,0.0086,0.0274,0.0035,273,NCCCCCN
6,3,119.66,6.43,6.388,6.753,6.924,7.13,-8.008,8.117,-0.125,0.109,142.46,22.29,0.0036,0.0022,0.011,0.0289,278,OC(=N)OP(=O)(O)O
7,4,129.72,5.06,5.099,5.471,5.723,5.769,-7.116,6.248,-0.326,-0.868,241.57,35.79,0.0121,0.0034,0.0014,0.0071,279,OC(=O)C[C@@H](C(=O)O)NC(=N)O
1,0,0.0,0.06,8.35,8.35,9.56,9.895,-10.109,9.516,-0.208,-0.593,34.22,4.07,0.09,0.09,0.0,0.0,281,[C]=O
4,2,72.55,5.81,5.452,6.116,6.478,6.781,-6.876,7.244,-0.338,0.367,100.9,17.29,0.0019,0.0138,0.0036,0.003,286,NOCC(=O)O
3,1,60.36,13.39,3.754,4.006,4.266,4.325,-4.411,5.004,-1.806,0.593,98.18,39.13,0.0009,0.0079,0.0072,0.0005,288,O[C@@H](C[N](C)(C)C)CC(=O)[O]
3,1,54.37,4.22,4.297,4.945,5.689,5.837,-7.497,5.657,-0.094,-1.84,83.65,23.31,0.0019,0.0255,0.0009,0.0001,296,O=C[C@@H](C(=O)O)C
0,0,0.0,0.0,10.103,10.103,10.103,11.272,-10.588,13.796,0.636,3.208,-23.24,6.92,0.1278,0.1278,0.1278,0.0,297,C
1,0,17.07,4.56,3.399,4.34,4.42,5.493,-6.577,4.49,1.899,-2.087,57.9,41.54,0.0001,0.6488,0.0609,0.1013,307,O=C/C=C/c1ccccc1
1,1,20.23,1.89,4.689,4.816,5.54,5.679,-6.076,5.07,1.692,-1.007,44.79,42.5,0.3685,0.1451,0.004,0.1736,308,OC/C=C/c1ccccc1
6,3,111.9,5.54,3.724,4.511,4.691,5.12,-7.619,4.718,-0.443,-2.901,218.12,35.8,0.0102,0.0633,0.0032,0.0475,309,OC(=O)C/C(=C\C(=O)O)/C(=O)O
4,2,74.6,0.0,4.074,4.122,4.546,5.576,-7.146,4.504,0.268,-2.642,147.33,33.55,0.0,0.0,0.8786,0.0,310,OC(=O)/C=C/C=C/C(=O)O
3,2,57.53,5.49,4.131,4.325,4.571,5.206,-6.109,4.373,1.49,-1.736,144.31,45.13,0.6431,0.0001,0.0215,0.0003,322,OC(=O)/C=C/c1ccc(cc1)O
2,0,30.21,4.82,4.134,4.457,4.594,5.396,-6.495,4.618,1.793,-1.878,82.32,42.48,0.1192,0.0,0.1673,0.0165,323,O=c1ccc2c(o1)cccc2
1,1,20.23,1.78,5.179,5.665,5.902,6.171,-6.338,6.291,2.302,-0.046,29.28,47.15,0.0016,0.1391,0.0007,0.0505,325,OCc1ccc(cc1)C(C)C
1,0,17.07,3.86,3.711,4.677,4.929,5.597,-6.836,5.238,2.623,-1.597,40.6,46.41,0.0001,0.0162,0.3753,0.0001,326,O=Cc1ccc(cc1)C(C)C
4,3,77.76,5.12,4.917,5.302,5.397,5.57,-6.335,5.785,0.51,-0.55,143.24,41.17,0.0244,0.1315,0.0126,0.0223,328,OC(=O)[C@H](c1ccc(cc1)O)O
4,3,89.34,4.76,5.262,5.457,5.587,5.725,-6.215,6.299,0.926,0.084,159.09,38.14,0.0156,0.0274,0.0138,0.0106,331,C[C@@H](C[C@@H](CC(=O)O)N)N
2,1,29.46,2.23,4.548,4.572,4.807,5.426,-5.529,4.92,2.044,-0.61,43.53,45.05,0.2444,0.0644,0.0008,0.0263,332,COc1cc(C=C)ccc1O
1,1,20.23,1.16,5.051,5.122,5.752,5.773,-5.823,6.003,1.701,0.18,48.13,33.43,0.0391,0.0004,0.0048,0.019,335,Cc1ccccc1O
6,4,112.65,2.14,5.407,5.657,6.25,6.307,-7.053,6.544,-0.851,-0.509,184.36,25.57,0.0067,0.017,0.0297,0.0136,336,OC(=N)N[C@H](C(=O)O)O
4,3,77.76,2.57,4.59,4.983,5.918,6.187,-6.947,5.723,-1.71,-1.225,51.35,29.83,0.001,0.0091,0.0205,0.0011,337,OC[C@H]([C@H](C(=O)C)O)O
4,3,93.36,1.91,5.666,6.103,6.636,6.797,-6.561,7.728,-0.177,1.167,116.67,25.42,0.0149,0.0136,0.0186,0.0185,339,NCCP(=O)(O)O
2,2,40.46,1.3,4.801,4.921,5.085,5.493,-5.461,5.755,1.406,0.294,89.1,35.45,0.0014,0.0417,0.0001,0.0075,340,Oc1c(C)cccc1O
1,1,20.23,1.06,4.996,5.201,5.763,5.794,-5.878,5.932,1.701,0.054,48.13,33.43,0.0398,0.0001,0.0062,0.0017,342,Cc1cccc(c1)O
